year,month,Kanton,Herkunftsland,Indikator,value
2005,10,1,00,2,314062.0
2005,10,2,00,2,345687.0
2005,10,3,00,2,117038.0
2005,10,4,00,2,13397.0
2005,10,5,00,2,51988.0
2005,10,6,00,2,27926.0
2005,10,7,00,2,22370.0
2005,10,8,00,2,13039.0
2005,10,9,00,2,18865.0
2005,10,10,00,2,29993.0
2005,10,11,00,2,27037.0
2005,10,12,00,2,64344.0
2005,10,13,00,2,20284.0
2005,10,14,00,2,9215.0
2005,10,15,00,2,14173.0
2005,10,16,00,2,17544.0
2005,10,17,00,2,91566.0
2005,10,18,00,2,268170.0
2005,10,19,00,2,55671.0
2005,10,20,00,2,30405.0
2005,10,21,00,2,261721.0
2005,10,22,00,2,176718.0
2005,10,23,00,2,206488.0
2005,10,24,00,2,18079.0
2005,10,25,00,2,214427.0
2005,10,26,00,2,7692.0
2005,11,1,00,2,292329.0
2005,11,2,00,2,180526.0
2005,11,3,00,2,83345.0
2005,11,4,00,2,6120.0
2005,11,5,00,2,32963.0
2005,11,6,00,2,12048.0
2005,11,7,00,2,15102.0
2005,11,8,00,2,5720.0
2005,11,9,00,2,19785.0
2005,11,10,00,2,24079.0
2005,11,11,00,2,23287.0
2005,11,12,00,2,72018.0
2005,11,13,00,2,19652.0
2005,11,14,00,2,8051.0
2005,11,15,00,2,8584.0
2005,11,16,00,2,6345.0
2005,11,17,00,2,65714.0
2005,11,18,00,2,70513.0
2005,11,19,00,2,53737.0
2005,11,20,00,2,25708.0
2005,11,21,00,2,81746.0
2005,11,22,00,2,137264.0
2005,11,23,00,2,97551.0
2005,11,24,00,2,14702.0
2005,11,25,00,2,195509.0
2005,11,26,00,2,4618.0
2005,12,1,00,2,257660.0
2005,12,2,00,2,283038.0
2005,12,3,00,2,79900.0
2005,12,4,00,2,9471.0
2005,12,5,00,2,32544.0
2005,12,6,00,2,34394.0
2005,12,7,00,2,9313.0
2005,12,8,00,2,7296.0
2005,12,9,00,2,15930.0
2005,12,10,00,2,23444.0
2005,12,11,00,2,17076.0
2005,12,12,00,2,52200.0
2005,12,13,00,2,9220.0
2005,12,14,00,2,4509.0
2005,12,15,00,2,7813.0
2005,12,16,00,2,7409.0
2005,12,17,00,2,63013.0
2005,12,18,00,2,463449.0
2005,12,19,00,2,37445.0
2005,12,20,00,2,17896.0
2005,12,21,00,2,64113.0
2005,12,22,00,2,140260.0
2005,12,23,00,2,307216.0
